date,production_ton
2016-10-07,1285
2016-10-08,4719
2016-10-09,4105
2016-10-10,2291
2016-10-11,2729
2016-10-12,2700
2016-10-13,3378
2016-10-14,3764
2016-10-15,1831
2016-10-16,4394
2016-10-17,4727
2016-10-18,2156
2016-10-19,722
2016-10-20,747
2016-10-21,566
2016-10-22,3757
2016-10-23,2976
2016-10-24,4257
2016-10-25,3882
2016-10-26,2962
2016-10-27,4954
2016-10-28,3677
2016-10-29,3012
2016-10-30,4076
2016-10-31,969
2016-11-01,4436
2016-11-02,1065
2016-11-03,2449
2016-11-04,1192
2016-11-05,3093
2016-11-06,4282
2016-11-07,3965
2016-11-08,1189
2016-11-09,1471
2016-11-10,3474
2016-11-11,2564
2016-11-12,4379
2016-11-13,2140
2016-11-14,1855
2016-11-15,4436
2016-11-16,1048
2016-11-17,1349
2016-11-18,4873
2016-11-19,3339
2016-11-20,4589
2016-11-21,3658
2016-11-22,3174
2016-11-23,917
2016-11-24,3588
2016-11-25,3204
2016-11-26,2010
2016-11-27,4130
2016-11-28,3138
2016-11-29,3487
2016-11-30,4091
2016-12-01,917
2016-12-02,2136
2016-12-03,4857
2016-12-04,2500
2016-12-05,4973
2016-12-06,2603
2016-12-07,1035
2016-12-08,2629
2016-12-09,1900
2016-12-10,1923
2016-12-11,1073
2016-12-12,4401
2016-12-13,569
2016-12-14,3542
2016-12-15,3393
2016-12-16,4938
2016-12-17,1311
2016-12-18,3795
2016-12-19,3151
2016-12-20,2101
2016-12-21,1485
2016-12-22,4021
2016-12-23,2023
2016-12-24,2020
2016-12-25,810
2016-12-26,3363
2016-12-27,4082
2016-12-28,3845
2016-12-29,1785
2016-12-30,4916
2016-12-31,3864
2017-01-01,729
2017-01-02,3421
2017-01-03,3084
2017-01-04,2002
2017-01-05,1922
2017-01-06,3083
2017-01-07,534
2017-01-08,4320
2017-01-09,2647
2017-01-10,2704
2017-01-11,4108
2017-01-12,2786
2017-01-13,1181
2017-01-14,3801
2017-01-15,3536
2017-01-16,1058
2017-01-17,4973
2017-01-18,2473
2017-01-19,1237
2017-01-20,3860
2017-01-21,3740
2017-01-22,2816
2017-01-23,3316
2017-01-24,4999
2017-01-25,830
2017-01-26,4228
2017-01-27,3406
2017-01-28,2963
2017-01-29,1165
2017-01-30,4197
2017-01-31,3683
2017-02-01,2708
2017-02-02,2745
2017-02-03,2383
2017-02-04,4209
2017-02-05,692
2017-02-06,2810
2017-02-07,1841
2017-02-08,922
2017-02-09,2238
2017-02-10,1028
2017-02-11,2352
2017-02-12,1693
2017-02-13,3765
2017-02-14,1742
2017-02-15,3155
2017-02-16,4749
2017-02-17,1792
2017-02-18,3294
2017-02-19,2084
2017-02-20,1232
2017-02-21,3970
2017-02-22,1446
2017-02-23,1915
2017-02-24,3196
2017-02-25,875
2017-02-26,4719
2017-02-27,784
2017-02-28,3111
2017-03-01,4744
2017-03-02,3594
2017-03-03,1834
2017-03-04,1924
2017-03-05,3509
2017-03-06,3922
2017-03-07,4730
2017-03-08,631
2017-03-09,1080
2017-03-10,4682
2017-03-11,1219
2017-03-12,2118
2017-03-13,1546
2017-03-14,4737
2017-03-15,2534
2017-03-16,2295
2017-03-17,4889
2017-03-18,4359
2017-03-19,952
2017-03-20,3561
2017-03-21,2654
2017-03-22,4625
2017-03-23,3894
2017-03-24,3884
2017-03-25,1367
2017-03-26,4103
2017-03-27,3953
2017-03-28,2964
2017-03-29,3787
2017-03-30,969
2017-03-31,3594
2017-04-01,1192
2017-04-02,3113
2017-04-03,1514
2017-04-04,3512
2017-04-05,3470
2017-04-06,3407
2017-04-07,3888
2017-04-08,2363
2017-04-09,955
2017-04-10,1211
2017-04-11,4865
2017-04-12,660
2017-04-13,695
2017-04-14,3258
2017-04-15,2855
2017-04-16,3363
2017-04-17,3972
2017-04-18,4752
2017-04-19,596
2017-04-20,1872
2017-04-21,2318
2017-04-22,4341
2017-04-23,2790
2017-04-24,2331
2017-04-25,3134
2017-04-26,3552
2017-04-27,1947
2017-04-28,3131
2017-04-29,4402
2017-04-30,2585
2017-05-01,3641
2017-05-02,1675
2017-05-03,786
2017-05-04,1310
2017-05-05,4586
2017-05-06,4962
2017-05-07,1869
2017-05-08,1857
2017-05-09,1634
2017-05-10,1761
2017-05-11,3833
2017-05-12,4230
2017-05-13,4430
2017-05-14,4774
2017-05-15,1774
2017-05-16,2201
2017-05-17,2067
2017-05-18,4248
2017-05-19,3598
2017-05-20,4261
2017-05-21,1859
2017-05-22,4886
2017-05-23,3196
2017-05-24,4656
2017-05-25,4136
2017-05-26,3620
2017-05-27,3532
2017-05-28,3873
2017-05-29,4606
2017-05-30,2875
2017-05-31,2060
2017-06-01,1543
2017-06-02,813
2017-06-03,1502
2017-06-04,3677
2017-06-05,3923
2017-06-06,2136
2017-06-07,1110
2017-06-08,2765
2017-06-09,3005
2017-06-10,4801
2017-06-11,876
2017-06-12,3707
2017-06-13,1750
2017-06-14,1335
2017-06-15,3230
2017-06-16,794
2017-06-17,4049
2017-06-18,4333
2017-06-19,4462
2017-06-20,1838
2017-06-21,4433
2017-06-22,2436
2017-06-23,510
2017-06-24,2147
2017-06-25,2671
2017-06-26,1829
2017-06-27,1174
2017-06-28,4458
2017-06-29,4580
2017-06-30,4150
2017-07-01,2541
2017-07-02,655
2017-07-03,3564
2017-07-04,4716
2017-07-05,3889
2017-07-06,3479
2017-07-07,1704
2017-07-08,1967
2017-07-09,1751
2017-07-10,4410
2017-07-11,3531
2017-07-12,2777
2017-07-13,4080
2017-07-14,556
2017-07-15,4784
2017-07-16,1867
2017-07-17,1377
2017-07-18,4767
2017-07-19,1833
2017-07-20,4439
2017-07-21,1822
2017-07-22,1160
2017-07-23,4889
2017-07-24,4175
2017-07-25,3145
2017-07-26,3329
2017-07-27,1818
2017-07-28,2706
2017-07-29,1675
2017-07-30,2727
2017-07-31,3166
2017-08-01,3622
2017-08-02,3488
2017-08-03,2346
2017-08-04,3514
2017-08-05,2034
2017-08-06,4029
2017-08-07,4706
2017-08-08,1215
2017-08-09,4608
2017-08-10,3416
2017-08-11,4914
2017-08-12,4379
2017-08-13,599
2017-08-14,2860
2017-08-15,1171
2017-08-16,4043
2017-08-17,2896
2017-08-18,1719
2017-08-19,2605
2017-08-20,2533
2017-08-21,569
2017-08-22,1490
2017-08-23,4692
2017-08-24,1785
2017-08-25,3411
2017-08-26,3940
2017-08-27,1307
2017-08-28,3161
2017-08-29,3076
2017-08-30,1161
2017-08-31,1768
2017-09-01,4018
2017-09-02,1787
2017-09-03,1671
2017-09-04,1873
2017-09-05,4747
2017-09-06,2637
2017-09-07,4846
2017-09-08,2879
2017-09-09,1050
2017-09-10,2445
2017-09-11,3200
2017-09-12,1028
2017-09-13,3954
2017-09-14,2806
2017-09-15,2817
2017-09-16,3055
2017-09-17,2005
2017-09-18,2646
2017-09-19,3848
2017-09-20,2743
2017-09-21,3639
2017-09-22,1276
2017-09-23,1662
2017-09-24,945
2017-09-25,1925
2017-09-26,3559
2017-09-27,1930
2017-09-28,3258
2017-09-29,774
2017-09-30,4241
2017-10-01,1182
2017-10-02,2807
2017-10-03,4170
2017-10-04,3610
2017-10-05,3079
2017-10-06,1324
2017-10-07,4593
2017-10-08,2758
2017-10-09,1270
2017-10-10,1725
2017-10-11,1543
2017-10-12,1061
2017-10-13,3331
2017-10-14,2507
2017-10-15,1950
2017-10-16,2602
2017-10-17,2898
2017-10-18,3954
2017-10-19,924
2017-10-20,777
2017-10-21,2661
2017-10-22,4935
2017-10-23,3671
2017-10-24,2681
2017-10-25,3262
2017-10-26,1995
2017-10-27,4839
2017-10-28,2645
2017-10-29,4967
2017-10-30,4210
2017-10-31,2761
2017-11-01,4240
2017-11-02,4297
2017-11-03,2657
2017-11-04,2288
2017-11-05,1323
2017-11-06,2955
2017-11-07,2315
2017-11-08,2429
2017-11-09,1730
2017-11-10,1858
2017-11-11,3584
2017-11-12,2150
2017-11-13,4003
2017-11-14,3071
2017-11-15,4759
2017-11-16,3541
2017-11-17,4969
2017-11-18,2023
2017-11-19,4673
2017-11-20,1686
2017-11-21,3283
2017-11-22,4477
2017-11-23,953
2017-11-24,4925
2017-11-25,2072
2017-11-26,4229
2017-11-27,4657
2017-11-28,4255
2017-11-29,4065
2017-11-30,653
2017-12-01,4367
2017-12-02,4562
2017-12-03,2936
2017-12-04,2152
2017-12-05,1208
2017-12-06,3571
2017-12-07,3357
2017-12-08,3062
2017-12-09,1452
2017-12-10,4142
2017-12-11,861
2017-12-12,1495
2017-12-13,4380
2017-12-14,3086
2017-12-15,4769
2017-12-16,4200
2017-12-17,4515
2017-12-18,1887
2017-12-19,4397
2017-12-20,753
2017-12-21,1356
2017-12-22,1867
2017-12-23,579
2017-12-24,1217
2017-12-25,644
2017-12-26,3383
2017-12-27,3858
2017-12-28,4579
2017-12-29,3472
2017-12-30,814
2017-12-31,1745
2018-01-01,3919
2018-01-02,899
2018-01-03,3400
2018-01-04,3777
2018-01-05,1262
2018-01-06,1137
2018-01-07,4575
2018-01-08,3298
2018-01-09,2158
2018-01-10,4028
2018-01-11,1777
2018-01-12,4471
2018-01-13,3924
2018-01-14,3116
2018-01-15,2188
2018-01-16,1355
2018-01-17,1096
2018-01-18,2788
2018-01-19,1659
2018-01-20,1681
2018-01-21,3228
2018-01-22,1487
2018-01-23,3017
2018-01-24,2316
2018-01-25,4538
2018-01-26,1186
2018-01-27,1620
2018-01-28,1686
2018-01-29,4856
2018-01-30,4763
2018-01-31,2522
2018-02-01,799
2018-02-02,4246
2018-02-03,576
2018-02-04,4588
2018-02-05,3060
2018-02-06,1275
2018-02-07,2297
2018-02-08,3706
2018-02-09,1297
2018-02-10,2180
2018-02-11,2654
2018-02-12,940
2018-02-13,3951
2018-02-14,1202
2018-02-15,702
2018-02-16,4702
2018-02-17,3668
2018-02-18,3173
2018-02-19,776
2018-02-20,3111
2018-02-21,2484
2018-02-22,914
2018-02-23,1099
2018-02-24,1250
2018-02-25,900
2018-02-26,1607
2018-02-27,3858
2018-02-28,2731
2018-03-01,2620
2018-03-02,2693
2018-03-03,4902
2018-03-04,4685
2018-03-05,1575
2018-03-06,3014
2018-03-07,4661
2018-03-08,4312
2018-03-09,4880
2018-03-10,1331
2018-03-11,787
2018-03-12,2047
2018-03-13,771
2018-03-14,3794
2018-03-15,4823
2018-03-16,1709
2018-03-17,2171
2018-03-18,3280
2018-03-19,2437
2018-03-20,1767
2018-03-21,2194
2018-03-22,1700
2018-03-23,3379
2018-03-24,1485
2018-03-25,3526
2018-03-26,3041
2018-03-27,1546
2018-03-28,1111
2018-03-29,3596
2018-03-30,4131
2018-03-31,1213
2018-04-01,1602
2018-04-02,3576
2018-04-03,1494
2018-04-04,3100
2018-04-05,4792
2018-04-06,2893
2018-04-07,4376
2018-04-08,4748
2018-04-09,1432
2018-04-10,1662
2018-04-11,2772
2018-04-12,1874
2018-04-13,4133
2018-04-14,1988
2018-04-15,1908
2018-04-16,4103
2018-04-17,1228
2018-04-18,3301
2018-04-19,1180
2018-04-20,4336
2018-04-21,2594
2018-04-22,3365
2018-04-23,1742
2018-04-24,3345
2018-04-25,1118
2018-04-26,4489
2018-04-27,4339
2018-04-28,2527
2018-04-29,4702
2018-04-30,3578
2018-05-01,752
2018-05-02,4325
2018-05-03,4946
2018-05-04,2568
2018-05-05,2352
2018-05-06,1113
2018-05-07,3427
2018-05-08,1469
2018-05-09,995
2018-05-10,4748
2018-05-11,1324
2018-05-12,3037
2018-05-13,3064
2018-05-14,2174
2018-05-15,4114
2018-05-16,617
2018-05-17,2255
2018-05-18,1399
2018-05-19,4071
2018-05-20,3625
2018-05-21,2383
2018-05-22,3670
2018-05-23,4427
2018-05-24,3312
2018-05-25,753
2018-05-26,3753
2018-05-27,848
2018-05-28,3665
2018-05-29,3990
2018-05-30,4873
2018-05-31,3846
2018-06-01,4348
2018-06-02,1369
2018-06-03,1802
2018-06-04,4132
2018-06-05,3603
2018-06-06,4885
2018-06-07,4629
2018-06-08,3357
2018-06-09,1041
2018-06-10,847
2018-06-11,1806
2018-06-12,4858
2018-06-13,1175
2018-06-14,4034
2018-06-15,629
2018-06-16,2053
2018-06-17,3767
2018-06-18,4301
2018-06-19,4228
2018-06-20,1404
2018-06-21,3359
2018-06-22,1667
2018-06-23,632
2018-06-24,2839
2018-06-25,3335
2018-06-26,2079
2018-06-27,1331
2018-06-28,2566
2018-06-29,1956
2018-06-30,3662
2018-07-01,853
2018-07-02,832
2018-07-03,1606
2018-07-04,3590
2018-07-05,4020
2018-07-06,4760
2018-07-07,3198
2018-07-08,748
2018-07-09,4823
2018-07-10,1118
2018-07-11,4149
2018-07-12,2781
2018-07-13,1620
2018-07-14,2965
2018-07-15,1358
2018-07-16,3715
2018-07-17,3233
2018-07-18,3016
2018-07-19,1795
2018-07-20,3038
2018-07-21,2423
2018-07-22,1336
2018-07-23,3746
2018-07-24,3013
2018-07-25,4106
2018-07-26,4777
2018-07-27,2364
2018-07-28,1826
2018-07-29,4354
2018-07-30,4603
2018-07-31,4434
2018-08-01,3607
2018-08-02,3388
2018-08-03,1909
2018-08-04,3833
2018-08-05,1553
2018-08-06,2969
2018-08-07,2394
2018-08-08,3201
2018-08-09,588
2018-08-10,3993
2018-08-11,2020
2018-08-12,3585
2018-08-13,4814
2018-08-14,1382
2018-08-15,3666
2018-08-16,2027
2018-08-17,2477
2018-08-18,2293
2018-08-19,2991
2018-08-20,4764
2018-08-21,1541
2018-08-22,2640
2018-08-23,987
2018-08-24,4427
2018-08-25,3436
2018-08-26,3988
2018-08-27,2488
2018-08-28,1957
2018-08-29,3526
2018-08-30,4277
2018-08-31,4065
2018-09-01,1098
2018-09-02,3634
2018-09-03,4452
2018-09-04,4213
2018-09-05,4983
2018-09-06,4788
2018-09-07,2338
2018-09-08,3085
2018-09-09,4194
2018-09-10,4407
2018-09-11,1440
2018-09-12,1817
2018-09-13,1329
2018-09-14,1606
2018-09-15,1560
2018-09-16,2617
2018-09-17,1274
2018-09-18,1701
2018-09-19,4925
2018-09-20,3174
2018-09-21,3916
2018-09-22,1452
2018-09-23,679
2018-09-24,1540
2018-09-25,1050
2018-09-26,4826
2018-09-27,4371
2018-09-28,4775
2018-09-29,3518
2018-09-30,2693
2018-10-01,1791
2018-10-02,2966
2018-10-03,1461
2018-10-04,1685
2018-10-05,4230
2018-10-06,3021
2018-10-07,4454
2018-10-08,4407
2018-10-09,759
2018-10-10,3526
2018-10-11,2750
2018-10-12,746
2018-10-13,1681
2018-10-14,3671
2018-10-15,1781
2018-10-16,581
2018-10-17,2430
2018-10-18,800
2018-10-19,787
2018-10-20,1958
2018-10-21,1229
2018-10-22,2605
2018-10-23,4713
2018-10-24,3273
2018-10-25,4519
2018-10-26,2078
2018-10-27,2539
2018-10-28,1077
2018-10-29,2103
2018-10-30,4094
2018-10-31,2921
2018-11-01,3433
2018-11-02,3931
2018-11-03,1953
2018-11-04,4564
2018-11-05,2484
2018-11-06,3094
2018-11-07,2709
2018-11-08,3528
2018-11-09,1576
2018-11-10,2209
2018-11-11,1899
2018-11-12,3488
2018-11-13,854
2018-11-14,1839
2018-11-15,2318
2018-11-16,821
2018-11-17,4848
2018-11-18,4792
2018-11-19,1137
2018-11-20,3470
2018-11-21,2505
2018-11-22,2895
2018-11-23,3228
2018-11-24,4243
2018-11-25,3758
2018-11-26,2953
2018-11-27,4712
2018-11-28,3985
2018-11-29,819
2018-11-30,1474
2018-12-01,1620
2018-12-02,4497
2018-12-03,4405
2018-12-04,2360
2018-12-05,3657
2018-12-06,1984
2018-12-07,1817
2018-12-08,4355
2018-12-09,2387
2018-12-10,3993
2018-12-11,2851
2018-12-12,2452
2018-12-13,4473
2018-12-14,1404
2018-12-15,4913
2018-12-16,3950
2018-12-17,4485
2018-12-18,4395
2018-12-19,576
2018-12-20,4559
2018-12-21,2757
2018-12-22,3337
2018-12-23,1609
2018-12-24,3610
2018-12-25,3153
2018-12-26,3153
2018-12-27,2557
2018-12-28,1279
2018-12-29,3700
2018-12-30,1405
2018-12-31,4347
2019-01-01,1756
2019-01-02,2851
2019-01-03,1561
2019-01-04,1965
2019-01-05,3497
2019-01-06,3412
2019-01-07,3215
2019-01-08,3146
2019-01-09,2973
2019-01-10,3871
2019-01-11,1757
2019-01-12,2037
2019-01-13,3440
2019-01-14,4473
2019-01-15,722
2019-01-16,3598
2019-01-17,1528
2019-01-18,3160
2019-01-19,1343
2019-01-20,783
2019-01-21,4503
2019-01-22,2689
2019-01-23,4988
2019-01-24,3230
2019-01-25,3743
2019-01-26,1993
2019-01-27,4808
2019-01-28,4785
2019-01-29,858
2019-01-30,3263
2019-01-31,1422
2019-02-01,4254
2019-02-02,2149
2019-02-03,1540
2019-02-04,1248
2019-02-05,1178
2019-02-06,2815
2019-02-07,4320
2019-02-08,1765
2019-02-09,1979
2019-02-10,1757
2019-02-11,4403
2019-02-12,3726
2019-02-13,2965
2019-02-14,3061
2019-02-15,967
2019-02-16,4836
2019-02-17,939
2019-02-18,3842
2019-02-19,4269
2019-02-20,3537
2019-02-21,4919
2019-02-22,1928
2019-02-23,2658
2019-02-24,1732
2019-02-25,3668
2019-02-26,1738
2019-02-27,2736
2019-02-28,1469
2019-03-01,1807
2019-03-02,4551
2019-03-03,2160
2019-03-04,3139
2019-03-05,1547
2019-03-06,1319
2019-03-07,1171
2019-03-08,2194
2019-03-09,3270
2019-03-10,3994
2019-03-11,3764
2019-03-12,4811
2019-03-13,2745
2019-03-14,2779
2019-03-15,4673
2019-03-16,1841
2019-03-17,3055
2019-03-18,3945
2019-03-19,3236
2019-03-20,4600
2019-03-21,1820
2019-03-22,2526
2019-03-23,3567
2019-03-24,4766
2019-03-25,876
2019-03-26,3543
2019-03-27,4750
2019-03-28,4284
2019-03-29,1858
2019-03-30,1185
2019-03-31,2419
2019-04-01,814
2019-04-02,2722
2019-04-03,556
2019-04-04,2871
2019-04-05,4993
2019-04-06,865
2019-04-07,1012
2019-04-08,4102
2019-04-09,2734
2019-04-10,4029
2019-04-11,3026
2019-04-12,3696
2019-04-13,1610
2019-04-14,578
2019-04-15,1108
2019-04-16,3172
2019-04-17,2121
2019-04-18,1279
2019-04-19,3131
2019-04-20,3493
2019-04-21,1452
2019-04-22,4492
2019-04-23,1235
2019-04-24,1865
2019-04-25,2988
2019-04-26,2775
2019-04-27,4434
2019-04-28,665
2019-04-29,1772
2019-04-30,2828
2019-05-01,1659
2019-05-02,828
2019-05-03,1147
2019-05-04,595
2019-05-05,661
2019-05-06,4519
2019-05-07,1275
2019-05-08,3672
2019-05-09,3190
2019-05-10,3270
2019-05-11,1407
2019-05-12,1761
2019-05-13,3756
2019-05-14,3264
2019-05-15,3246
2019-05-16,4741
2019-05-17,1880
2019-05-18,4842
2019-05-19,4800
2019-05-20,1467
2019-05-21,1684
2019-05-22,2551
2019-05-23,4912
2019-05-24,2421
2019-05-25,3271
2019-05-26,3274
2019-05-27,3597
2019-05-28,4754
2019-05-29,3225
2019-05-30,4929
2019-05-31,1211
2019-06-01,4998
2019-06-02,3899
2019-06-03,4213
2019-06-04,2600
2019-06-05,4526
2019-06-06,4320
2019-06-07,2773
2019-06-08,3087
2019-06-09,1120
2019-06-10,3267
2019-06-11,4642
2019-06-12,3780
2019-06-13,921
2019-06-14,2673
2019-06-15,2802
2019-06-16,2430
2019-06-17,1400
2019-06-18,3364
2019-06-19,2152
2019-06-20,1533
2019-06-21,3169
2019-06-22,1314
2019-06-23,1812
2019-06-24,2261
2019-06-25,4193
2019-06-26,1620
2019-06-27,3450
2019-06-28,1171
2019-06-29,862
2019-06-30,3570
2019-07-01,4895
2019-07-02,3719
2019-07-03,3081
2019-07-04,4621
2019-07-05,711
2019-07-06,1330
2019-07-07,3311
2019-07-08,1707
2019-07-09,4014
2019-07-10,3878
2019-07-11,1624
2019-07-12,1481
2019-07-13,4509
2019-07-14,803
2019-07-15,1903
2019-07-16,4897
2019-07-17,1229
2019-07-18,4152
2019-07-19,1411
2019-07-20,3271
2019-07-21,1527
2019-07-22,4002
2019-07-23,577
2019-07-24,1620
2019-07-25,1553
2019-07-26,762
2019-07-27,4156
2019-07-28,1719
2019-07-29,4751
2019-07-30,728
2019-07-31,4024
2019-08-01,2494
2019-08-02,3331
2019-08-03,2612
2019-08-04,2949
2019-08-05,3413
2019-08-06,4695
2019-08-07,3656
2019-08-08,3110
2019-08-09,2650
2019-08-10,4225
2019-08-11,1728
2019-08-12,1281
2019-08-13,4158
2019-08-14,562
2019-08-15,1331
2019-08-16,1646
2019-08-17,618
2019-08-18,1051
2019-08-19,3519
2019-08-20,2224
2019-08-21,2292
2019-08-22,4440
2019-08-23,654
2019-08-24,4889
2019-08-25,1847
2019-08-26,4834
2019-08-27,4993
2019-08-28,760
2019-08-29,1845
2019-08-30,4591
2019-08-31,1775
2019-09-01,898
2019-09-02,3761
2019-09-03,1759
2019-09-04,4013
2019-09-05,3153
2019-09-06,1020
2019-09-07,848
2019-09-08,2810
2019-09-09,4214
2019-09-10,1922
2019-09-11,4902
2019-09-12,4044
2019-09-13,3610
2019-09-14,2649
2019-09-15,2018
2019-09-16,1359
2019-09-17,2245
2019-09-18,3485
2019-09-19,2407
2019-09-20,1981
2019-09-21,3274
2019-09-22,855
2019-09-23,4977
2019-09-24,3969
2019-09-25,4785
2019-09-26,4265
2019-09-27,2985
2019-09-28,1176
2019-09-29,4189
2019-09-30,4004
2019-10-01,4323
2019-10-02,2521
2019-10-03,3460
2019-10-04,4559
2019-10-05,3798
2019-10-06,662
2019-10-07,3799
2019-10-08,2234
2019-10-09,929
2019-10-10,1331
2019-10-11,4813
2019-10-12,797
2019-10-13,2098
2019-10-14,2592
2019-10-15,1040
2019-10-16,3738
2019-10-17,3780
2019-10-18,2096
2019-10-19,2910
2019-10-20,1889
2019-10-21,1350
2019-10-22,575
2019-10-23,4638
2019-10-24,2085
2019-10-25,4347
2019-10-26,3137
2019-10-27,3663
2019-10-28,3116
2019-10-29,1720
2019-10-30,2908
2019-10-31,3167
2019-11-01,1649
2019-11-02,2243
2019-11-03,4975
2019-11-04,1658
2019-11-05,1049
2019-11-06,1425
2019-11-07,2099
2019-11-08,2269
2019-11-09,4162
2019-11-10,3564
2019-11-11,1606
2019-11-12,1312
2019-11-13,1385
2019-11-14,3848
2019-11-15,4290
2019-11-16,2120
2019-11-17,4380
2019-11-18,3839
2019-11-19,4696
2019-11-20,4964
2019-11-21,3957
2019-11-22,853
2019-11-23,1962
2019-11-24,1210
2019-11-25,3980
2019-11-26,4470
2019-11-27,3333
2019-11-28,1366
2019-11-29,625
2019-11-30,1262
2019-12-01,1839
2019-12-02,1605
2019-12-03,2053
2019-12-04,2405
2019-12-05,2382
2019-12-06,932
2019-12-07,3887
2019-12-08,3367
2019-12-09,4442
2019-12-10,1704
2019-12-11,1331
2019-12-12,4595
2019-12-13,4905
2019-12-14,3345
2019-12-15,3627
2019-12-16,2119
2019-12-17,2842
2019-12-18,1808
2019-12-19,1217
2019-12-20,4671
2019-12-21,1590
2019-12-22,1052
2019-12-23,1155
2019-12-24,1979
2019-12-25,3164
2019-12-26,3577
2019-12-27,2328
2019-12-28,1816
2019-12-29,2060
2019-12-30,3797
2019-12-31,1242
2020-01-01,823
2020-01-02,3798
2020-01-03,3951
2020-01-04,1973
2020-01-05,4913
2020-01-06,2462
2020-01-07,3495
2020-01-08,3492
2020-01-09,1436
2020-01-10,647
2020-01-11,2606
2020-01-12,2460
2020-01-13,1822
2020-01-14,3342
2020-01-15,4082
2020-01-16,816
2020-01-17,525
2020-01-18,2265
2020-01-19,2186
2020-01-20,2691
2020-01-21,1273
2020-01-22,695
2020-01-23,1764
2020-01-24,1726
2020-01-25,1700
2020-01-26,2750
2020-01-27,4501
2020-01-28,3166
2020-01-29,3988
2020-01-30,2145
2020-01-31,697
2020-02-01,2030
2020-02-02,2126
2020-02-03,548
2020-02-04,2775
2020-02-05,3876
2020-02-06,4083
2020-02-07,2331
2020-02-08,4073
2020-02-09,3361
2020-02-10,1953
2020-02-11,3560
2020-02-12,3443
2020-02-13,4254
2020-02-14,975
2020-02-15,4926
2020-02-16,2322
2020-02-17,1128
2020-02-18,1326
2020-02-19,4237
2020-02-20,3660
2020-02-21,1062
2020-02-22,3772
2020-02-23,2392
2020-02-24,780
2020-02-25,1837
2020-02-26,2192
2020-02-27,4168
2020-02-28,4012
2020-02-29,3790
2020-03-01,3899
2020-03-02,1502
2020-03-03,2472
2020-03-04,3358
2020-03-05,2158
2020-03-06,4069
2020-03-07,1288
2020-03-08,1783
2020-03-09,2178
2020-03-10,4240
2020-03-11,4454
2020-03-12,798
2020-03-13,880
2020-03-14,3475
2020-03-15,3756
2020-03-16,1929
2020-03-17,3155
2020-03-18,3490
2020-03-19,4690
2020-03-20,2769
2020-03-21,914
2020-03-22,692
2020-03-23,2334
2020-03-24,1070
2020-03-25,3088
2020-03-26,3442
2020-03-27,1318
2020-03-28,2469
2020-03-29,3816
2020-03-30,1703
2020-03-31,1111
2020-04-01,3690
2020-04-02,2637
2020-04-03,1601
2020-04-04,4335
2020-04-05,1665
2020-04-06,3149
