date,rainfall_mm
2017-08-02,18.6
2017-08-03,108.3
2017-08-04,68.6
2017-08-05,52.6
2017-08-06,34.1
2017-08-07,83.0
2017-08-08,87.3
2017-08-09,54.8
2017-08-10,36.8
2017-08-11,44.8
2017-08-12,75.0
2017-08-13,85.3
2017-08-14,64.1
2017-08-15,45.4
2017-08-16,85.3
2017-08-17,108.4
2017-08-18,51.1
2017-08-19,73.0
2017-08-20,41.7
2017-08-21,78.3
2017-08-22,7.3
2017-08-23,66.9
2017-08-24,13.2
2017-08-25,90.6
2017-08-26,61.4
2017-08-27,82.4
2017-08-28,113.8
2017-08-29,66.9
2017-08-30,77.5
2017-08-31,117.2
2017-09-01,47.0
2017-09-02,51.8
2017-09-03,102.8
2017-09-04,57.4
2017-09-05,89.4
2017-09-06,104.2
2017-09-07,87.0
2017-09-08,89.9
2017-09-09,7.7
2017-09-10,61.9
2017-09-11,117.4
2017-09-12,50.6
2017-09-13,48.4
2017-09-14,59.0
2017-09-15,68.3
2017-09-16,111.9
2017-09-17,13.6
2017-09-18,58.4
2017-09-19,75.7
2017-09-20,5.0
2017-09-21,91.1
2017-09-22,77.2
2017-09-23,97.8
2017-09-24,64.1
2017-09-25,70.0
2017-09-26,33.0
2017-09-27,106.4
2017-09-28,68.3
2017-09-29,83.4
2017-09-30,12.2
2017-10-01,47.9
2017-10-02,33.7
2017-10-03,99.9
2017-10-04,12.7
2017-10-05,90.5
2017-10-06,70.7
2017-10-07,80.4
2017-10-08,25.7
2017-10-09,33.6
2017-10-10,95.2
2017-10-11,69.7
2017-10-12,85.5
2017-10-13,77.9
2017-10-14,71.1
2017-10-15,11.0
2017-10-16,29.7
2017-10-17,19.0
2017-10-18,89.5
2017-10-19,88.6
2017-10-20,49.9
2017-10-21,94.2
2017-10-22,76.3
2017-10-23,9.7
2017-10-24,81.5
2017-10-25,9.9
2017-10-26,67.8
2017-10-27,65.9
2017-10-28,42.2
2017-10-29,74.7
2017-10-30,4.8
2017-10-31,63.9
2017-11-01,46.0
2017-11-02,112.5
2017-11-03,10.2
2017-11-04,118.5
2017-11-05,56.4
2017-11-06,114.3
2017-11-07,37.6
2017-11-08,76.9
2017-11-09,16.1
2017-11-10,43.7
2017-11-11,58.5
2017-11-12,68.2
2017-11-13,111.4
2017-11-14,25.8
2017-11-15,80.8
2017-11-16,40.6
2017-11-17,71.9
2017-11-18,4.3
2017-11-19,52.0
2017-11-20,38.8
2017-11-21,80.7
2017-11-22,108.2
2017-11-23,72.9
2017-11-24,108.7
2017-11-25,117.8
2017-11-26,64.9
2017-11-27,63.9
2017-11-28,43.4
2017-11-29,83.7
2017-11-30,119.9
2017-12-01,57.0
2017-12-02,84.9
2017-12-03,87.3
2017-12-04,29.8
2017-12-05,15.4
2017-12-06,77.1
2017-12-07,22.7
2017-12-08,58.8
2017-12-09,29.9
2017-12-10,32.3
2017-12-11,100.9
2017-12-12,76.3
2017-12-13,39.6
2017-12-14,37.1
2017-12-15,84.9
2017-12-16,85.7
2017-12-17,70.9
2017-12-18,118.1
2017-12-19,11.7
2017-12-20,49.6
2017-12-21,54.7
2017-12-22,87.7
2017-12-23,47.9
2017-12-24,68.5
2017-12-25,97.6
2017-12-26,69.4
2017-12-27,14.8
2017-12-28,105.1
2017-12-29,90.0
2017-12-30,25.5
2017-12-31,17.6
2018-01-01,38.6
2018-01-02,39.1
2018-01-03,102.3
2018-01-04,16.9
2018-01-05,114.6
2018-01-06,17.5
2018-01-07,117.0
2018-01-08,87.6
2018-01-09,97.4
2018-01-10,103.7
2018-01-11,68.8
2018-01-12,28.9
2018-01-13,97.4
2018-01-14,118.5
2018-01-15,63.3
2018-01-16,70.8
2018-01-17,102.9
2018-01-18,44.1
2018-01-19,27.7
2018-01-20,3.8
2018-01-21,68.1
2018-01-22,72.0
2018-01-23,94.2
2018-01-24,90.6
2018-01-25,46.8
2018-01-26,71.7
2018-01-27,3.3
2018-01-28,110.6
2018-01-29,43.9
2018-01-30,81.8
2018-01-31,118.6
2018-02-01,67.9
2018-02-02,105.6
2018-02-03,60.9
2018-02-04,97.9
2018-02-05,90.9
2018-02-06,111.8
2018-02-07,109.7
2018-02-08,0.9
2018-02-09,43.4
2018-02-10,97.5
2018-02-11,54.7
2018-02-12,12.3
2018-02-13,113.0
2018-02-14,98.1
2018-02-15,49.6
2018-02-16,119.9
2018-02-17,75.8
2018-02-18,71.6
2018-02-19,88.3
2018-02-20,56.8
2018-02-21,78.9
2018-02-22,6.4
2018-02-23,3.2
2018-02-24,95.4
2018-02-25,23.1
2018-02-26,43.1
2018-02-27,23.5
2018-02-28,85.8
2018-03-01,29.8
2018-03-02,27.0
2018-03-03,107.3
2018-03-04,29.0
2018-03-05,87.7
2018-03-06,11.9
2018-03-07,35.0
2018-03-08,49.5
2018-03-09,8.1
2018-03-10,103.1
2018-03-11,2.8
2018-03-12,76.7
2018-03-13,59.9
2018-03-14,25.7
2018-03-15,70.8
2018-03-16,102.1
2018-03-17,8.2
2018-03-18,64.2
2018-03-19,60.0
2018-03-20,86.6
2018-03-21,59.5
2018-03-22,91.8
2018-03-23,84.8
2018-03-24,104.7
2018-03-25,102.5
2018-03-26,25.8
2018-03-27,46.6
2018-03-28,75.9
2018-03-29,9.7
2018-03-30,81.6
2018-03-31,117.2
2018-04-01,36.1
2018-04-02,80.9
2018-04-03,35.5
2018-04-04,111.6
2018-04-05,73.0
2018-04-06,14.9
2018-04-07,114.0
2018-04-08,96.3
2018-04-09,59.0
2018-04-10,30.8
2018-04-11,116.5
2018-04-12,61.2
2018-04-13,101.5
2018-04-14,35.6
2018-04-15,7.3
2018-04-16,91.3
2018-04-17,73.4
2018-04-18,2.5
2018-04-19,35.6
2018-04-20,92.9
2018-04-21,10.2
2018-04-22,117.2
2018-04-23,5.8
2018-04-24,78.7
2018-04-25,116.2
2018-04-26,22.2
2018-04-27,21.2
2018-04-28,17.4
2018-04-29,22.2
2018-04-30,28.0
2018-05-01,116.3
2018-05-02,41.9
2018-05-03,58.6
2018-05-04,77.4
2018-05-05,88.7
2018-05-06,106.2
2018-05-07,75.6
2018-05-08,107.4
2018-05-09,96.4
2018-05-10,6.1
2018-05-11,19.2
2018-05-12,107.5
2018-05-13,99.6
2018-05-14,53.3
2018-05-15,48.4
2018-05-16,5.2
2018-05-17,33.9
2018-05-18,78.1
2018-05-19,8.8
2018-05-20,52.2
2018-05-21,56.2
2018-05-22,13.5
2018-05-23,64.9
2018-05-24,20.7
2018-05-25,104.4
2018-05-26,69.0
2018-05-27,19.1
2018-05-28,42.6
2018-05-29,3.0
2018-05-30,56.8
2018-05-31,89.9
2018-06-01,27.8
2018-06-02,18.9
2018-06-03,112.4
2018-06-04,88.3
2018-06-05,38.7
2018-06-06,4.3
2018-06-07,28.4
2018-06-08,96.7
2018-06-09,86.9
2018-06-10,37.8
2018-06-11,119.3
2018-06-12,94.6
2018-06-13,102.3
2018-06-14,38.2
2018-06-15,31.9
2018-06-16,47.3
2018-06-17,43.0
2018-06-18,112.8
2018-06-19,56.4
2018-06-20,76.0
2018-06-21,48.9
2018-06-22,51.1
2018-06-23,102.7
2018-06-24,2.2
2018-06-25,56.6
2018-06-26,30.0
2018-06-27,64.0
2018-06-28,5.7
2018-06-29,32.4
2018-06-30,1.9
2018-07-01,42.5
2018-07-02,71.1
2018-07-03,55.0
2018-07-04,91.4
2018-07-05,52.2
2018-07-06,54.4
2018-07-07,47.9
2018-07-08,50.7
2018-07-09,45.0
2018-07-10,89.0
2018-07-11,91.9
2018-07-12,61.2
2018-07-13,101.7
2018-07-14,71.5
2018-07-15,95.9
2018-07-16,51.2
2018-07-17,95.7
2018-07-18,33.6
2018-07-19,3.9
2018-07-20,20.0
2018-07-21,86.8
2018-07-22,18.3
2018-07-23,35.6
2018-07-24,37.7
2018-07-25,48.9
2018-07-26,93.6
2018-07-27,26.6
2018-07-28,41.9
2018-07-29,27.9
2018-07-30,75.2
2018-07-31,101.2
2018-08-01,86.4
2018-08-02,51.8
2018-08-03,91.3
2018-08-04,93.8
2018-08-05,78.5
2018-08-06,13.0
2018-08-07,89.7
2018-08-08,105.3
2018-08-09,70.1
2018-08-10,16.1
2018-08-11,56.6
2018-08-12,42.8
2018-08-13,58.0
2018-08-14,95.2
2018-08-15,28.8
2018-08-16,113.1
2018-08-17,65.9
2018-08-18,77.6
2018-08-19,104.8
2018-08-20,104.7
2018-08-21,50.8
2018-08-22,64.8
2018-08-23,52.2
2018-08-24,107.4
2018-08-25,40.2
2018-08-26,84.9
2018-08-27,84.4
2018-08-28,98.7
2018-08-29,110.4
2018-08-30,103.0
2018-08-31,19.1
2018-09-01,66.7
2018-09-02,109.5
2018-09-03,32.9
2018-09-04,10.3
2018-09-05,57.8
2018-09-06,82.7
2018-09-07,28.2
2018-09-08,87.7
2018-09-09,61.8
2018-09-10,14.6
2018-09-11,4.5
2018-09-12,57.2
2018-09-13,82.1
2018-09-14,20.1
2018-09-15,115.7
2018-09-16,33.7
2018-09-17,45.5
2018-09-18,111.3
2018-09-19,80.4
2018-09-20,35.6
2018-09-21,108.4
2018-09-22,60.3
2018-09-23,8.4
2018-09-24,91.6
2018-09-25,39.4
2018-09-26,57.4
2018-09-27,91.4
2018-09-28,60.3
2018-09-29,75.4
2018-09-30,66.9
2018-10-01,57.8
2018-10-02,49.0
2018-10-03,21.7
2018-10-04,50.6
2018-10-05,50.2
2018-10-06,80.4
2018-10-07,98.3
2018-10-08,56.4
2018-10-09,48.7
2018-10-10,94.5
2018-10-11,21.3
2018-10-12,25.1
2018-10-13,81.8
2018-10-14,44.5
2018-10-15,12.6
2018-10-16,51.4
2018-10-17,27.0
2018-10-18,34.6
2018-10-19,39.9
2018-10-20,9.7
2018-10-21,90.3
2018-10-22,31.9
2018-10-23,68.2
2018-10-24,30.1
2018-10-25,31.3
2018-10-26,56.5
2018-10-27,79.5
2018-10-28,4.5
2018-10-29,46.0
2018-10-30,98.1
2018-10-31,104.6
2018-11-01,20.4
2018-11-02,17.8
2018-11-03,43.6
2018-11-04,9.6
2018-11-05,75.5
2018-11-06,53.0
2018-11-07,100.2
2018-11-08,55.6
2018-11-09,60.7
2018-11-10,79.5
2018-11-11,54.6
2018-11-12,27.6
2018-11-13,86.4
2018-11-14,82.4
2018-11-15,27.9
2018-11-16,53.7
2018-11-17,105.1
2018-11-18,118.7
2018-11-19,9.2
2018-11-20,118.7
2018-11-21,20.2
2018-11-22,44.0
2018-11-23,55.0
2018-11-24,43.3
2018-11-25,5.3
2018-11-26,47.6
2018-11-27,79.9
2018-11-28,13.6
2018-11-29,60.3
2018-11-30,62.2
2018-12-01,119.5
2018-12-02,116.4
2018-12-03,35.4
2018-12-04,106.7
2018-12-05,100.0
2018-12-06,57.6
2018-12-07,74.2
2018-12-08,4.2
2018-12-09,23.5
2018-12-10,71.9
2018-12-11,44.0
2018-12-12,113.6
2018-12-13,91.6
2018-12-14,25.8
2018-12-15,119.4
2018-12-16,116.7
2018-12-17,75.1
2018-12-18,19.1
2018-12-19,18.4
2018-12-20,113.0
2018-12-21,41.5
2018-12-22,86.8
2018-12-23,85.0
2018-12-24,13.9
2018-12-25,72.7
2018-12-26,6.2
2018-12-27,66.7
2018-12-28,95.1
2018-12-29,16.2
2018-12-30,44.2
2018-12-31,38.9
2019-01-01,14.4
2019-01-02,28.2
2019-01-03,108.9
2019-01-04,14.7
2019-01-05,116.7
2019-01-06,97.3
2019-01-07,13.0
2019-01-08,104.9
2019-01-09,110.8
2019-01-10,67.7
2019-01-11,8.3
2019-01-12,45.0
2019-01-13,17.3
2019-01-14,54.3
2019-01-15,54.5
2019-01-16,117.6
2019-01-17,62.1
2019-01-18,78.2
2019-01-19,84.4
2019-01-20,0.8
2019-01-21,102.6
2019-01-22,108.6
2019-01-23,85.4
2019-01-24,56.9
2019-01-25,50.0
2019-01-26,89.1
2019-01-27,69.5
2019-01-28,1.6
2019-01-29,19.2
2019-01-30,35.7
2019-01-31,39.9
2019-02-01,47.8
2019-02-02,116.9
2019-02-03,111.0
2019-02-04,35.3
2019-02-05,61.3
2019-02-06,56.2
2019-02-07,48.1
2019-02-08,116.2
2019-02-09,111.7
2019-02-10,7.9
2019-02-11,69.5
2019-02-12,63.9
2019-02-13,93.0
2019-02-14,108.1
2019-02-15,38.2
2019-02-16,38.4
2019-02-17,116.4
2019-02-18,67.7
2019-02-19,78.2
2019-02-20,46.1
2019-02-21,66.6
2019-02-22,25.9
2019-02-23,40.9
2019-02-24,103.6
2019-02-25,82.0
2019-02-26,113.6
2019-02-27,9.1
2019-02-28,72.4
2019-03-01,27.9
2019-03-02,13.9
2019-03-03,80.3
2019-03-04,50.1
2019-03-05,77.3
2019-03-06,54.9
2019-03-07,62.0
2019-03-08,9.6
2019-03-09,78.6
2019-03-10,72.3
2019-03-11,62.7
2019-03-12,101.7
2019-03-13,94.5
2019-03-14,106.9
2019-03-15,51.8
2019-03-16,4.0
2019-03-17,6.2
2019-03-18,106.4
2019-03-19,78.6
2019-03-20,74.8
2019-03-21,104.4
2019-03-22,13.7
2019-03-23,117.7
2019-03-24,87.6
2019-03-25,101.3
2019-03-26,113.8
2019-03-27,41.8
2019-03-28,74.7
2019-03-29,38.4
2019-03-30,42.5
2019-03-31,25.3
2019-04-01,119.6
2019-04-02,78.6
2019-04-03,18.0
2019-04-04,62.1
2019-04-05,59.3
2019-04-06,67.9
2019-04-07,68.8
2019-04-08,95.0
2019-04-09,77.4
2019-04-10,17.5
2019-04-11,63.6
2019-04-12,87.3
2019-04-13,6.1
2019-04-14,46.8
2019-04-15,72.8
2019-04-16,107.3
2019-04-17,33.2
2019-04-18,97.6
2019-04-19,77.6
2019-04-20,42.9
2019-04-21,118.5
2019-04-22,113.2
2019-04-23,14.9
2019-04-24,18.4
2019-04-25,4.5
2019-04-26,64.3
2019-04-27,1.4
2019-04-28,19.6
2019-04-29,54.3
2019-04-30,36.2
2019-05-01,29.2
2019-05-02,8.4
2019-05-03,97.3
2019-05-04,72.2
2019-05-05,114.4
2019-05-06,102.3
2019-05-07,25.3
2019-05-08,23.3
2019-05-09,85.1
2019-05-10,103.4
2019-05-11,95.1
2019-05-12,97.8
2019-05-13,38.9
2019-05-14,43.5
2019-05-15,41.4
2019-05-16,43.9
2019-05-17,37.8
2019-05-18,4.8
2019-05-19,28.5
2019-05-20,14.2
2019-05-21,68.8
2019-05-22,63.7
2019-05-23,99.4
2019-05-24,35.2
2019-05-25,8.7
2019-05-26,71.0
2019-05-27,19.4
2019-05-28,46.8
2019-05-29,119.5
2019-05-30,47.4
2019-05-31,55.7
2019-06-01,17.6
2019-06-02,115.6
2019-06-03,41.2
2019-06-04,100.8
2019-06-05,62.8
2019-06-06,24.6
2019-06-07,31.3
2019-06-08,3.8
2019-06-09,86.1
2019-06-10,57.7
2019-06-11,41.8
2019-06-12,61.3
2019-06-13,8.3
2019-06-14,1.6
2019-06-15,91.5
2019-06-16,102.0
2019-06-17,96.0
2019-06-18,42.2
2019-06-19,41.4
2019-06-20,64.4
2019-06-21,76.4
2019-06-22,7.4
2019-06-23,37.2
2019-06-24,22.6
2019-06-25,19.3
2019-06-26,56.7
2019-06-27,86.5
2019-06-28,32.8
2019-06-29,82.6
2019-06-30,94.0
2019-07-01,25.7
2019-07-02,22.9
2019-07-03,41.4
2019-07-04,88.5
2019-07-05,66.2
2019-07-06,69.0
2019-07-07,13.1
2019-07-08,36.2
2019-07-09,84.6
2019-07-10,16.7
2019-07-11,58.5
2019-07-12,10.1
2019-07-13,12.1
2019-07-14,12.8
2019-07-15,98.9
2019-07-16,18.6
2019-07-17,22.1
2019-07-18,68.8
2019-07-19,87.3
2019-07-20,110.5
2019-07-21,60.9
2019-07-22,17.1
2019-07-23,114.2
2019-07-24,73.1
2019-07-25,98.3
2019-07-26,29.1
2019-07-27,69.7
2019-07-28,53.1
2019-07-29,69.1
2019-07-30,37.5
2019-07-31,22.8
2019-08-01,112.0
2019-08-02,39.3
2019-08-03,54.0
2019-08-04,26.9
2019-08-05,20.3
2019-08-06,14.9
2019-08-07,83.8
2019-08-08,12.5
2019-08-09,16.3
2019-08-10,86.4
2019-08-11,58.6
2019-08-12,27.8
2019-08-13,118.8
2019-08-14,89.6
2019-08-15,98.3
2019-08-16,110.9
2019-08-17,86.0
2019-08-18,70.3
2019-08-19,58.9
2019-08-20,57.8
2019-08-21,8.8
2019-08-22,105.7
2019-08-23,67.3
2019-08-24,55.9
2019-08-25,42.1
2019-08-26,1.6
2019-08-27,45.7
2019-08-28,15.6
2019-08-29,116.5
2019-08-30,60.8
2019-08-31,6.2
2019-09-01,9.6
2019-09-02,67.7
2019-09-03,5.4
2019-09-04,22.5
2019-09-05,72.8
2019-09-06,16.6
2019-09-07,16.3
2019-09-08,74.8
2019-09-09,33.4
2019-09-10,88.8
2019-09-11,40.1
2019-09-12,36.4
2019-09-13,70.6
2019-09-14,37.0
2019-09-15,19.8
2019-09-16,11.5
2019-09-17,29.3
2019-09-18,37.8
2019-09-19,30.1
2019-09-20,18.7
2019-09-21,76.1
2019-09-22,68.2
2019-09-23,25.5
2019-09-24,109.6
2019-09-25,69.2
2019-09-26,10.5
2019-09-27,7.9
2019-09-28,75.1
2019-09-29,59.3
2019-09-30,22.4
2019-10-01,77.3
2019-10-02,31.6
2019-10-03,103.1
2019-10-04,42.8
2019-10-05,29.7
2019-10-06,21.1
2019-10-07,9.1
2019-10-08,2.3
2019-10-09,20.9
2019-10-10,56.4
2019-10-11,0.6
2019-10-12,33.5
2019-10-13,107.5
2019-10-14,19.5
2019-10-15,31.3
2019-10-16,91.0
2019-10-17,33.7
2019-10-18,81.2
2019-10-19,110.1
2019-10-20,92.0
2019-10-21,41.5
2019-10-22,101.9
2019-10-23,105.2
2019-10-24,48.4
2019-10-25,53.4
2019-10-26,7.8
2019-10-27,86.1
2019-10-28,28.4
2019-10-29,2.5
2019-10-30,115.7
2019-10-31,34.0
2019-11-01,75.9
2019-11-02,108.0
2019-11-03,95.6
2019-11-04,6.0
2019-11-05,52.1
2019-11-06,13.6
2019-11-07,4.5
2019-11-08,5.4
2019-11-09,19.5
2019-11-10,50.6
2019-11-11,29.1
2019-11-12,99.4
2019-11-13,109.7
2019-11-14,88.3
2019-11-15,48.6
2019-11-16,43.9
