date,predicted_price
2017-04-24,307.43
2017-04-25,346.81
2017-04-26,355.7
2017-04-27,145.93
2017-04-28,296.02
2017-04-29,201.5
2017-04-30,186.38
2017-05-01,266.54
2017-05-02,166.25
2017-05-03,332.25
2017-05-04,330.45
2017-05-05,161.92
2017-05-06,135.86
2017-05-07,316.84
2017-05-08,296.33
2017-05-09,268.16
2017-05-10,376.69
2017-05-11,269.26
2017-05-12,184.2
2017-05-13,350.97
2017-05-14,375.55
2017-05-15,337.24
2017-05-16,272.49
2017-05-17,286.8
2017-05-18,226.36
2017-05-19,339.59
2017-05-20,296.09
2017-05-21,241.94
2017-05-22,110.33
2017-05-23,108.95
2017-05-24,149.0
2017-05-25,395.85
2017-05-26,171.56
2017-05-27,214.24
2017-05-28,171.08
2017-05-29,128.02
2017-05-30,267.12
2017-05-31,241.09
2017-06-01,259.37
2017-06-02,111.34
2017-06-03,321.88
2017-06-04,297.97
2017-06-05,205.21
2017-06-06,110.76
2017-06-07,295.32
2017-06-08,180.6
2017-06-09,371.91
2017-06-10,245.83
2017-06-11,331.83
2017-06-12,275.75
2017-06-13,261.41
2017-06-14,365.05
2017-06-15,133.96
2017-06-16,296.81
2017-06-17,125.41
2017-06-18,142.5
2017-06-19,381.0
2017-06-20,257.62
2017-06-21,309.31
2017-06-22,115.57
2017-06-23,394.83
2017-06-24,180.37
2017-06-25,218.71
2017-06-26,243.39
2017-06-27,198.44
2017-06-28,295.07
2017-06-29,210.38
2017-06-30,369.76
2017-07-01,100.78
2017-07-02,362.25
2017-07-03,216.15
2017-07-04,318.53
2017-07-05,383.67
2017-07-06,160.13
2017-07-07,268.55
2017-07-08,281.15
2017-07-09,210.23
2017-07-10,240.53
2017-07-11,118.12
2017-07-12,366.96
2017-07-13,165.83
2017-07-14,217.9
2017-07-15,310.19
2017-07-16,377.3
2017-07-17,379.8
2017-07-18,284.89
2017-07-19,275.13
2017-07-20,354.27
2017-07-21,358.54
2017-07-22,118.67
2017-07-23,143.97
2017-07-24,105.96
2017-07-25,273.59
2017-07-26,384.11
2017-07-27,385.03
2017-07-28,332.59
2017-07-29,243.75
2017-07-30,394.73
2017-07-31,292.94
2017-08-01,143.5
2017-08-02,119.29
2017-08-03,102.28
2017-08-04,252.22
2017-08-05,151.97
2017-08-06,302.87
2017-08-07,262.3
2017-08-08,332.96
2017-08-09,302.18
2017-08-10,168.7
2017-08-11,367.65
2017-08-12,353.86
2017-08-13,155.06
2017-08-14,227.27
2017-08-15,154.9
2017-08-16,227.07
2017-08-17,127.24
2017-08-18,269.89
2017-08-19,314.98
2017-08-20,132.53
2017-08-21,101.53
2017-08-22,206.38
2017-08-23,132.68
2017-08-24,190.99
2017-08-25,163.66
2017-08-26,384.32
2017-08-27,236.77
2017-08-28,146.28
2017-08-29,144.05
2017-08-30,301.31
2017-08-31,262.07
2017-09-01,243.27
2017-09-02,258.42
2017-09-03,330.67
2017-09-04,152.68
2017-09-05,219.59
2017-09-06,288.17
2017-09-07,259.35
2017-09-08,206.59
2017-09-09,340.79
2017-09-10,330.08
2017-09-11,272.83
2017-09-12,153.16
2017-09-13,218.02
2017-09-14,251.58
2017-09-15,279.4
2017-09-16,305.92
2017-09-17,313.7
2017-09-18,346.05
2017-09-19,183.64
2017-09-20,336.54
2017-09-21,323.72
2017-09-22,142.11
2017-09-23,167.94
2017-09-24,289.3
2017-09-25,256.41
2017-09-26,100.57
2017-09-27,181.86
2017-09-28,335.22
2017-09-29,266.09
2017-09-30,230.67
2017-10-01,388.89
2017-10-02,247.43
2017-10-03,327.3
2017-10-04,335.86
2017-10-05,263.87
2017-10-06,195.34
2017-10-07,316.01
2017-10-08,381.25
2017-10-09,136.7
2017-10-10,224.09
2017-10-11,281.1
2017-10-12,158.43
2017-10-13,106.68
2017-10-14,339.45
2017-10-15,239.14
2017-10-16,189.24
2017-10-17,374.59
2017-10-18,189.97
2017-10-19,167.98
2017-10-20,108.39
2017-10-21,283.04
2017-10-22,123.03
2017-10-23,176.47
2017-10-24,114.45
2017-10-25,113.56
2017-10-26,353.33
2017-10-27,275.8
2017-10-28,281.52
2017-10-29,387.93
2017-10-30,306.94
2017-10-31,285.64
2017-11-01,276.72
2017-11-02,331.37
2017-11-03,285.48
2017-11-04,299.8
2017-11-05,269.99
2017-11-06,112.81
2017-11-07,284.57
2017-11-08,174.43
2017-11-09,268.82
2017-11-10,230.26
2017-11-11,193.36
2017-11-12,321.33
2017-11-13,270.97
2017-11-14,348.35
2017-11-15,346.72
2017-11-16,224.44
2017-11-17,363.49
2017-11-18,278.4
2017-11-19,146.78
2017-11-20,134.83
2017-11-21,171.68
2017-11-22,160.61
2017-11-23,369.02
2017-11-24,220.95
2017-11-25,122.05
2017-11-26,226.28
2017-11-27,159.19
2017-11-28,294.14
2017-11-29,263.89
2017-11-30,142.97
2017-12-01,190.96
2017-12-02,296.99
2017-12-03,384.95
2017-12-04,118.57
2017-12-05,370.11
2017-12-06,264.93
2017-12-07,245.37
2017-12-08,339.52
2017-12-09,220.97
2017-12-10,373.21
2017-12-11,370.55
2017-12-12,363.72
2017-12-13,124.04
2017-12-14,244.36
2017-12-15,192.97
2017-12-16,176.54
2017-12-17,143.61
2017-12-18,209.88
2017-12-19,163.05
2017-12-20,278.86
2017-12-21,127.19
2017-12-22,372.45
2017-12-23,366.11
2017-12-24,226.93
2017-12-25,213.13
2017-12-26,340.55
2017-12-27,364.93
2017-12-28,180.26
2017-12-29,398.02
2017-12-30,140.66
2017-12-31,157.36
2018-01-01,258.08
2018-01-02,269.3
2018-01-03,237.69
2018-01-04,272.57
2018-01-05,221.26
2018-01-06,332.05
2018-01-07,355.31
2018-01-08,158.24
2018-01-09,330.03
2018-01-10,278.49
2018-01-11,357.63
2018-01-12,265.06
2018-01-13,138.87
2018-01-14,119.79
2018-01-15,282.36
2018-01-16,131.69
2018-01-17,366.87
2018-01-18,300.23
2018-01-19,297.64
2018-01-20,214.91
2018-01-21,268.32
2018-01-22,322.67
2018-01-23,242.27
2018-01-24,278.21
2018-01-25,240.43
2018-01-26,290.1
2018-01-27,162.9
2018-01-28,173.51
2018-01-29,310.02
2018-01-30,273.64
2018-01-31,161.27
2018-02-01,147.42
2018-02-02,294.51
2018-02-03,248.17
2018-02-04,101.27
2018-02-05,381.06
2018-02-06,345.97
2018-02-07,268.68
2018-02-08,303.43
2018-02-09,219.7
2018-02-10,180.47
2018-02-11,376.2
2018-02-12,225.9
2018-02-13,210.87
2018-02-14,308.46
2018-02-15,253.27
2018-02-16,396.57
2018-02-17,385.13
2018-02-18,256.42
2018-02-19,172.78
2018-02-20,273.23
2018-02-21,296.57
2018-02-22,366.04
2018-02-23,102.03
2018-02-24,394.02
2018-02-25,289.04
2018-02-26,225.51
2018-02-27,148.0
2018-02-28,131.14
2018-03-01,102.11
2018-03-02,385.98
2018-03-03,143.75
2018-03-04,261.73
2018-03-05,301.64
2018-03-06,116.03
2018-03-07,345.42
2018-03-08,126.4
2018-03-09,332.69
2018-03-10,189.29
2018-03-11,153.51
2018-03-12,275.69
2018-03-13,277.27
2018-03-14,220.87
2018-03-15,281.94
2018-03-16,230.69
2018-03-17,394.84
2018-03-18,174.9
2018-03-19,185.66
2018-03-20,322.38
2018-03-21,292.8
2018-03-22,191.99
2018-03-23,321.53
2018-03-24,238.49
2018-03-25,337.2
2018-03-26,253.98
2018-03-27,200.71
2018-03-28,228.31
2018-03-29,154.21
2018-03-30,188.4
2018-03-31,220.01
2018-04-01,340.13
2018-04-02,312.09
2018-04-03,198.21
2018-04-04,360.27
2018-04-05,135.46
2018-04-06,294.8
2018-04-07,178.79
2018-04-08,154.94
2018-04-09,187.42
2018-04-10,211.5
2018-04-11,190.59
2018-04-12,324.81
2018-04-13,179.77
2018-04-14,378.09
2018-04-15,106.95
2018-04-16,377.6
2018-04-17,325.66
2018-04-18,392.32
2018-04-19,133.27
2018-04-20,196.29
2018-04-21,277.8
2018-04-22,183.68
2018-04-23,373.5
2018-04-24,271.26
2018-04-25,115.07
2018-04-26,147.45
2018-04-27,364.09
2018-04-28,222.58
2018-04-29,384.53
2018-04-30,144.06
2018-05-01,337.78
2018-05-02,359.64
2018-05-03,251.85
2018-05-04,335.88
2018-05-05,346.4
2018-05-06,111.73
2018-05-07,221.62
2018-05-08,369.1
2018-05-09,366.64
2018-05-10,224.32
2018-05-11,185.69
2018-05-12,295.45
2018-05-13,185.02
2018-05-14,225.11
2018-05-15,370.82
2018-05-16,343.9
2018-05-17,133.32
2018-05-18,262.4
2018-05-19,165.79
2018-05-20,335.98
2018-05-21,195.07
2018-05-22,215.35
2018-05-23,271.26
2018-05-24,361.71
2018-05-25,141.94
2018-05-26,270.88
2018-05-27,164.91
2018-05-28,209.24
2018-05-29,181.08
2018-05-30,321.3
2018-05-31,281.74
2018-06-01,141.3
2018-06-02,353.88
2018-06-03,386.43
2018-06-04,113.84
2018-06-05,237.92
2018-06-06,220.05
2018-06-07,117.7
2018-06-08,245.47
2018-06-09,394.48
2018-06-10,204.87
2018-06-11,161.36
2018-06-12,293.83
2018-06-13,249.81
2018-06-14,373.39
2018-06-15,190.26
2018-06-16,209.15
2018-06-17,255.23
2018-06-18,110.05
2018-06-19,127.49
2018-06-20,382.1
2018-06-21,368.8
2018-06-22,136.71
2018-06-23,112.37
2018-06-24,173.49
2018-06-25,194.95
2018-06-26,119.42
2018-06-27,127.45
2018-06-28,351.16
2018-06-29,350.88
2018-06-30,160.16
2018-07-01,157.56
2018-07-02,118.27
2018-07-03,360.08
2018-07-04,238.2
2018-07-05,282.6
2018-07-06,123.43
2018-07-07,207.81
2018-07-08,246.35
2018-07-09,111.42
2018-07-10,304.37
2018-07-11,224.33
2018-07-12,268.9
2018-07-13,270.56
2018-07-14,318.41
2018-07-15,293.82
2018-07-16,375.14
2018-07-17,149.55
2018-07-18,129.56
2018-07-19,186.76
2018-07-20,277.76
2018-07-21,218.92
2018-07-22,223.49
2018-07-23,222.07
2018-07-24,231.63
2018-07-25,235.77
2018-07-26,312.02
2018-07-27,257.57
2018-07-28,168.44
2018-07-29,140.85
2018-07-30,297.52
2018-07-31,314.01
2018-08-01,224.69
2018-08-02,213.18
2018-08-03,308.12
2018-08-04,238.55
2018-08-05,199.02
2018-08-06,377.75
2018-08-07,247.05
2018-08-08,365.66
2018-08-09,246.27
2018-08-10,293.24
2018-08-11,261.74
2018-08-12,357.59
2018-08-13,291.28
2018-08-14,172.08
2018-08-15,393.51
2018-08-16,270.59
2018-08-17,174.7
2018-08-18,375.34
2018-08-19,399.83
2018-08-20,371.34
2018-08-21,373.58
2018-08-22,266.98
2018-08-23,344.19
2018-08-24,187.13
2018-08-25,180.09
2018-08-26,112.48
2018-08-27,326.77
2018-08-28,121.83
2018-08-29,395.44
2018-08-30,293.57
2018-08-31,178.15
2018-09-01,254.65
2018-09-02,288.27
2018-09-03,306.45
2018-09-04,108.47
2018-09-05,340.75
2018-09-06,130.69
2018-09-07,236.23
2018-09-08,329.47
2018-09-09,278.46
2018-09-10,123.8
2018-09-11,327.75
2018-09-12,256.0
2018-09-13,198.86
2018-09-14,120.0
2018-09-15,154.61
2018-09-16,315.16
2018-09-17,164.9
2018-09-18,208.12
2018-09-19,174.97
2018-09-20,373.62
2018-09-21,248.59
2018-09-22,186.8
2018-09-23,263.66
2018-09-24,134.23
2018-09-25,163.21
2018-09-26,215.65
2018-09-27,318.95
2018-09-28,184.38
2018-09-29,358.91
2018-09-30,389.19
2018-10-01,392.17
2018-10-02,200.3
2018-10-03,343.46
2018-10-04,141.19
2018-10-05,341.61
2018-10-06,230.72
2018-10-07,371.87
2018-10-08,111.06
2018-10-09,289.8
2018-10-10,366.68
2018-10-11,320.34
2018-10-12,395.77
2018-10-13,387.83
2018-10-14,161.8
2018-10-15,199.75
2018-10-16,164.36
2018-10-17,132.18
2018-10-18,275.92
2018-10-19,140.55
2018-10-20,125.12
2018-10-21,178.28
2018-10-22,153.31
2018-10-23,259.36
2018-10-24,293.12
2018-10-25,392.38
2018-10-26,199.03
2018-10-27,254.9
2018-10-28,351.37
2018-10-29,265.6
2018-10-30,284.69
2018-10-31,114.03
2018-11-01,173.91
2018-11-02,288.21
2018-11-03,272.11
2018-11-04,380.38
2018-11-05,323.71
2018-11-06,286.0
2018-11-07,272.35
2018-11-08,386.09
2018-11-09,342.13
2018-11-10,132.0
2018-11-11,231.88
2018-11-12,322.64
2018-11-13,183.78
2018-11-14,265.83
2018-11-15,344.48
2018-11-16,353.42
2018-11-17,258.27
2018-11-18,145.19
2018-11-19,305.74
2018-11-20,245.88
2018-11-21,104.92
2018-11-22,290.2
2018-11-23,242.35
2018-11-24,141.32
2018-11-25,230.26
2018-11-26,376.31
2018-11-27,208.63
2018-11-28,172.96
2018-11-29,109.56
2018-11-30,346.34
2018-12-01,352.66
2018-12-02,229.41
2018-12-03,242.42
2018-12-04,205.27
2018-12-05,172.67
2018-12-06,323.85
2018-12-07,168.82
2018-12-08,360.27
2018-12-09,372.21
2018-12-10,253.46
2018-12-11,167.01
2018-12-12,362.34
2018-12-13,331.53
2018-12-14,193.83
2018-12-15,258.55
2018-12-16,142.4
2018-12-17,307.11
2018-12-18,225.38
2018-12-19,108.33
2018-12-20,384.58
2018-12-21,267.45
2018-12-22,304.51
2018-12-23,284.84
2018-12-24,198.35
2018-12-25,275.86
2018-12-26,342.27
2018-12-27,220.19
2018-12-28,253.54
2018-12-29,125.04
2018-12-30,234.22
2018-12-31,323.8
2019-01-01,202.45
2019-01-02,235.7
2019-01-03,129.42
2019-01-04,144.66
2019-01-05,126.53
2019-01-06,395.13
2019-01-07,174.28
2019-01-08,287.94
2019-01-09,219.6
2019-01-10,380.88
2019-01-11,347.02
2019-01-12,223.88
2019-01-13,142.23
2019-01-14,253.31
2019-01-15,157.9
2019-01-16,253.84
2019-01-17,125.43
2019-01-18,281.2
2019-01-19,253.04
2019-01-20,231.17
2019-01-21,314.65
2019-01-22,167.16
2019-01-23,135.19
2019-01-24,195.73
2019-01-25,212.84
2019-01-26,314.89
2019-01-27,263.15
2019-01-28,332.73
2019-01-29,254.64
2019-01-30,303.48
2019-01-31,119.15
2019-02-01,392.28
2019-02-02,300.76
2019-02-03,132.01
2019-02-04,379.91
2019-02-05,203.93
2019-02-06,135.47
2019-02-07,153.68
2019-02-08,328.22
2019-02-09,353.9
2019-02-10,132.94
2019-02-11,212.4
2019-02-12,265.83
2019-02-13,352.0
2019-02-14,173.78
2019-02-15,372.91
2019-02-16,281.69
2019-02-17,114.56
2019-02-18,257.7
2019-02-19,178.57
2019-02-20,203.01
2019-02-21,139.72
2019-02-22,197.48
2019-02-23,204.07
2019-02-24,116.93
2019-02-25,303.39
2019-02-26,207.52
2019-02-27,152.05
2019-02-28,263.22
2019-03-01,283.36
2019-03-02,163.29
2019-03-03,322.45
2019-03-04,348.72
2019-03-05,197.99
2019-03-06,344.36
2019-03-07,258.15
2019-03-08,135.24
2019-03-09,315.82
2019-03-10,398.87
2019-03-11,237.75
2019-03-12,384.17
2019-03-13,193.28
2019-03-14,226.87
2019-03-15,158.16
2019-03-16,273.53
2019-03-17,330.71
2019-03-18,158.63
2019-03-19,277.16
2019-03-20,226.4
2019-03-21,260.49
2019-03-22,113.43
2019-03-23,255.95
2019-03-24,279.26
2019-03-25,319.74
2019-03-26,265.55
2019-03-27,325.5
2019-03-28,180.16
2019-03-29,342.39
2019-03-30,191.46
2019-03-31,197.29
2019-04-01,315.03
2019-04-02,250.3
2019-04-03,364.27
2019-04-04,293.87
2019-04-05,382.14
2019-04-06,349.67
2019-04-07,113.06
2019-04-08,386.73
2019-04-09,332.41
2019-04-10,153.98
2019-04-11,171.26
2019-04-12,218.52
2019-04-13,335.03
2019-04-14,281.54
2019-04-15,109.39
2019-04-16,104.01
2019-04-17,150.96
2019-04-18,325.46
2019-04-19,108.47
2019-04-20,329.09
2019-04-21,115.6
2019-04-22,259.92
2019-04-23,281.2
2019-04-24,268.79
2019-04-25,135.45
2019-04-26,356.17
2019-04-27,158.52
2019-04-28,311.67
2019-04-29,169.28
2019-04-30,342.92
2019-05-01,174.21
2019-05-02,293.83
2019-05-03,384.6
2019-05-04,140.11
2019-05-05,307.28
2019-05-06,333.47
2019-05-07,239.17
2019-05-08,201.19
2019-05-09,336.23
2019-05-10,243.98
2019-05-11,239.42
2019-05-12,320.33
2019-05-13,311.27
2019-05-14,376.25
2019-05-15,261.33
2019-05-16,318.79
2019-05-17,371.18
2019-05-18,157.22
2019-05-19,275.23
2019-05-20,368.24
2019-05-21,222.46
2019-05-22,387.13
2019-05-23,154.29
2019-05-24,329.1
2019-05-25,278.14
2019-05-26,257.69
2019-05-27,232.25
2019-05-28,143.42
2019-05-29,245.25
2019-05-30,379.99
2019-05-31,146.73
2019-06-01,337.79
2019-06-02,131.14
2019-06-03,110.62
2019-06-04,144.11
2019-06-05,173.93
2019-06-06,365.51
2019-06-07,303.87
2019-06-08,134.15
2019-06-09,258.57
2019-06-10,159.36
2019-06-11,160.27
2019-06-12,178.08
2019-06-13,384.89
2019-06-14,261.53
2019-06-15,205.35
2019-06-16,208.55
2019-06-17,159.94
2019-06-18,123.85
2019-06-19,214.82
2019-06-20,134.45
2019-06-21,359.7
2019-06-22,160.86
2019-06-23,235.05
2019-06-24,294.6
2019-06-25,139.28
2019-06-26,239.32
2019-06-27,245.08
2019-06-28,311.05
2019-06-29,393.73
2019-06-30,274.4
2019-07-01,221.39
2019-07-02,219.75
2019-07-03,161.59
2019-07-04,304.81
2019-07-05,251.95
2019-07-06,354.79
2019-07-07,254.11
2019-07-08,177.25
2019-07-09,142.19
2019-07-10,395.67
2019-07-11,316.23
2019-07-12,367.68
2019-07-13,209.28
2019-07-14,287.19
2019-07-15,183.39
2019-07-16,104.96
2019-07-17,306.1
2019-07-18,135.79
2019-07-19,168.81
2019-07-20,221.8
2019-07-21,328.18
2019-07-22,273.78
2019-07-23,372.44
2019-07-24,340.21
2019-07-25,360.51
2019-07-26,296.0
2019-07-27,343.69
2019-07-28,353.35
2019-07-29,147.07
2019-07-30,144.41
2019-07-31,190.09
2019-08-01,397.94
2019-08-02,102.77
2019-08-03,159.86
2019-08-04,176.08
2019-08-05,346.78
2019-08-06,395.59
2019-08-07,359.77
2019-08-08,332.85
2019-08-09,228.85
2019-08-10,100.74
2019-08-11,252.24
2019-08-12,214.24
2019-08-13,376.7
2019-08-14,280.31
2019-08-15,290.21
2019-08-16,171.42
2019-08-17,160.15
2019-08-18,212.12
2019-08-19,387.07
2019-08-20,325.66
2019-08-21,175.34
2019-08-22,285.57
2019-08-23,183.2
2019-08-24,102.17
2019-08-25,236.38
2019-08-26,383.45
2019-08-27,113.54
2019-08-28,216.31
2019-08-29,197.72
2019-08-30,367.67
2019-08-31,337.12
2019-09-01,165.52
2019-09-02,233.2
2019-09-03,143.53
2019-09-04,261.79
2019-09-05,359.54
2019-09-06,356.43
2019-09-07,254.98
2019-09-08,356.0
2019-09-09,266.14
2019-09-10,164.78
2019-09-11,389.83
2019-09-12,333.43
2019-09-13,183.98
2019-09-14,354.99
2019-09-15,199.97
2019-09-16,321.84
2019-09-17,363.29
2019-09-18,245.93
2019-09-19,105.0
2019-09-20,348.15
2019-09-21,101.25
2019-09-22,334.06
2019-09-23,306.91
2019-09-24,322.95
2019-09-25,383.31
2019-09-26,141.1
2019-09-27,202.06
2019-09-28,113.63
2019-09-29,315.9
2019-09-30,145.22
2019-10-01,327.16
2019-10-02,389.76
2019-10-03,298.18
2019-10-04,286.66
2019-10-05,178.79
2019-10-06,102.09
2019-10-07,252.01
2019-10-08,215.76
2019-10-09,175.19
2019-10-10,175.87
2019-10-11,285.9
2019-10-12,237.17
2019-10-13,296.98
2019-10-14,116.74
2019-10-15,101.35
2019-10-16,390.79
2019-10-17,204.29
2019-10-18,368.09
2019-10-19,391.42
2019-10-20,344.74
2019-10-21,338.99
2019-10-22,269.86
2019-10-23,244.33
2019-10-24,186.49
2019-10-25,182.48
2019-10-26,252.65
2019-10-27,196.85
2019-10-28,253.02
2019-10-29,297.81
2019-10-30,131.48
2019-10-31,341.79
2019-11-01,280.65
2019-11-02,293.91
2019-11-03,265.92
2019-11-04,248.15
2019-11-05,192.36
2019-11-06,153.77
2019-11-07,200.07
2019-11-08,393.31
2019-11-09,367.62
2019-11-10,176.02
2019-11-11,359.61
2019-11-12,387.29
2019-11-13,105.86
2019-11-14,244.05
2019-11-15,122.85
2019-11-16,337.18
2019-11-17,115.95
